"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"Order is already On Hold,  can not set it on hold again","Order is already On Hold,  can not set it on hold again","Om al in de wacht,  kan niet opnieuw instellen in de wacht","Orden ya está en espera,  no puede ponerlo en espera de nuevo","订单已经搁置，不能将其搁置再","Auftrag ist bereits On Hold,  kann nicht erneut gesetzt es auf Eis","Ordre est déjà en attente,  ne peut pas le mettre en attente à nouveau","L'ordine è già in attesa,  non è possibile impostare in attesa di nuovo","Ordem já está em espera,  não pode configurá-lo em espera novamente","Παραγγελία είναι ήδη σε αναμονή,  δεν μπορεί να ρυθμιστεί και πάλι σε αναμονή ","Zamówienie jest już zawieszone,  nie może ustawić go zawieszone ponownie","Ordre er allerede på hold,  kan ikke sætte den på hold igen","Tilaa on jo pidossa voi asettaa sen pitoon uudelleen","Ordren er allerede på vent,  ikke kan sette det på vent igjen","النظام هو بالفعل في الانتظار، لا يمكن وضعها على عقد جديد","주문 보류 이미,  다시 보류를 설정할 수 없습니다","注文が保留に既にある、再び保留にそれを設定することはできません","להזמין כבר בהמתנה,  לא יכול להגדיר את זה בהמתנה שוב","Order är redan On Hold kan inte ställa in det på is igen","Objednávka je již na hold,  nelze nastavit jej v pořadí znovu","Заказать уже на удержание,  не может установить его на удержание снова","Order ay naka-hold,  hindi maaaring itakda ito on hold muli","Order na sa Paghupot,  dili gibutang kini sa salipdanan pag-usab"
"Order is canceled can't place it on hold anymore","Order is canceled can't place it on hold anymore","Bestelling geannuleerd kan niet meer plaats het in de wacht","Orden se cancela no puede poner en espera más","订单被取消不能把它抱了","Bestellung storniert wird nicht legen Sie sie nicht mehr in der Warteschleife","Commande est annulée ne peuvent plus mettre en attente","Ordine è annullato non può metterla in attesa più","Ordem é cancelada não pode colocá-lo em espera mais","Παραγγελία ακυρώνεται δεν μπορεί να το τοποθετήσετε σε αναμονή πια","Zamówienie zostanie anulowane nie można umieścić go na luku już","Ordre er annulleret,  kan ikke placere den på hold længere","Tilaus on peruutettu voi sijoittaa sen pitoon enää","Bestillingen er kansellert kan ikke plassere den på vent lenger","تم إلغاء النظام لا يمكن وضعه في الانتظار بعد الآن","주문은 더 이상 보류를 배치 할 수 없습니다 취소","ご注文は、もはや保留にそれを配置することはできませんキャンセルされます","צו בוטל לא יכול למקם אותו בהמתנה יותר","För avbryts kan inte placera den på is längre","Objednávka je zrušena nemůže umístit v pořadí už","Заказ отменен не можете поместить его на удержание больше","Order ay kinansela hindi maaaring ilagay ito on hold anymore","Order nga gikanselar dili ibutang kini sa salipdanan na"
"Order is closed (refunded) can't place it on hold anymore","Order is closed (refunded) can't place it on hold anymore","Order wordt gesloten (terugbetaald) kan niet meer plaats het in de wacht","Solicitar está cerrado (reembolsado) no puede poner en espera más","订单关闭（退还）不能把它抱了","Sortieren geschlossen ist (zurückerstattet) nicht setzen es nicht mehr in der Warteschleife","Ordre est fermé (remboursé) ne peut plus le mettre en attente","Ordine è chiuso (rimborsato) non può metterla in attesa più","Ordem está fechado (devolvido) não pode colocá-lo em espera mais","Παραγγελία είναι κλειστό (επιστρέφεται) δεν μπορεί να το τοποθετήσετε σε αναμονή πια","Zamówienie jest zamknięty (refundowane) nie można umieścić go na luku już","Bestil er lukket (refunderes),  kan ikke placere den på hold længere ","Tilaus on päättynyt (palautetaan) ei aseta pitoon enää","Bestillingen er stengt (refundert) kan ikke plassere den på vent lenger","تم إغلاق النظام (ردها) لا يمكن وضعه في الانتظار بعد الآن","주문 폐쇄 (환불) 더 이상 보류를 배치 할 수 없습니다","ご注文は閉じている（還付）もはや保留にそれを配置することはできません","להזמין סגור (יוחזר) לא יכול למקם אותו בהמתנה יותר","Order är stängd (återbetalas) kan inte placera den på is längre","Objednávka je uzavřena (vrácena) nelze umístit v pořadí už","Заказать закрыта (возвращается) не может разместить его на удержание больше","Order ay sarado (refund) ay hindi maaaring ilagay ito on hold anymore","Order nga sirado (refunded) dili ibutang kini sa salipdanan na"
"Order is complete can't place it on hold anymore","Order is complete can't place it on hold anymore","Bestelling compleet is kan het niet meer te plaatsen in de wacht","El orden es completa no se puede colocar en espera más","订单已完成不能把它抱了","Sortieren abgeschlossen ist kann nicht platzieren Sie es nicht mehr in der Warteschleife","Ordre est complète ne peut plus le mettre en attente","L'ordine è completo non può metterla in attesa più","A ordem é completa não pode colocá-lo em espera mais","Παραγγελία είναι πλήρης,  δεν μπορεί να το τοποθετήσετε σε αναμονή πια","Zamówienie jest kompletne nie można umieścić go na luku już","Ordre er komplet kan ikke placere det på hold længere","Tilaus on valmis ei voi sijoittaa sen pitoon enää","Bestillingen er fullført kan ikke plassere den på vent lenger","النظام هو الكامل لا يمكن وضعه في الانتظار بعد الآن","주문은 더 이상 보류를 배치 할 수 없습니다 완료","注文が完了し、もはや保留にそれを配置することはできません","להזמין מלא לא יכול למקם אותו בהמתנה יותר","Order är klar kan inte placera den på is längre","Objednávka je kompletní nemůže umístit v pořadí už","Заказать завершения не можете поместить его на удержание больше","Order ay kumpleto hindi maaaring ilagay ito on hold anymore","Order maoy bug-os nga dili ibutang kini sa salipdanan na"
"Order placed successfully back from OnHold","Order placed successfully back from OnHold","Om met succes terug geplaatst uit onhold","Pedido realizado con éxito detrás de OnHold","订购成功放回从ONHOLD","Bestellen Sie erfolgreich zurück von OnHold platziert","Commande passée avec succès retour de Attent","Ordine collocato con successo indietro da OnHold","Ordem colocada com sucesso voltar de onhold","Παραγγελία τοποθετηθεί με επιτυχία πίσω από onhold","Zamówienie złożone z powodzeniem z powrotem z OnHold","Ordre med succes tilbage fra OnHold","Tilauksen onnistuneesti takaisin onhold","Ordre plassert hell tilbake fra onhold","ترتيب وضعها بنجاح مرة أخرى من OnHold","주문 보류 상태에서 다시 성공적으로 배치","正常に戻っOnHoldからの注文","להזמין להציב בהצלחה בחזרה מOnHold","Beställning framgångsrikt tillbaka från onhold","Objednávka byla úspěšně umístí zpět z OnHold","Заказ,  размещенный успешно вернулся из OnHold","Order matagumpay na nailagay pabalik mula OnHold","Order gibutang malampuson gikan sa OnHold"
"Order placed successfully On Hold","Order placed successfully On Hold","Om met succes in de wachtstand gezet","Pedido realizado con éxito en espera","订购成功地被搁置","Auftrag erfolgreich in die Warteschleife gestellt","Commande passée avec succès en attente","Ordine collocato con successo On Hold","Ordem colocada com sucesso On Hold","Παραγγελία τοποθετηθεί με επιτυχία Κράτηση","Zamówienie złożone powodzeniem Podpięcie","Ordre succes på Hold","Tilauksen onnistuneesti Hold","Ordre plassert hell på vent","ترتيب وضعها بنجاح في الانتظار","주문 보류에 성공적으로 배치","次ホールドで正常に配置","להזמין להציב בהצלחה בהמתנה","Beställning framgångsrikt On Hold","Objednávka byla úspěšně přidržen","Заказать успешно помещен на удержание","Order matagumpay na nailagay On Hold","Order gibutang malampuson sa Paghupot"
"Order status is not on hold; Can only unhold orders that are actually on hold.","Order status is not on hold; Can only unhold orders that are actually on hold.","Orderstatus niet in de wachtstand; Kan alleen unhold bestellingen die daadwerkelijk in de wacht.","Estado de la orden no está en espera; Puede solamente órdenes Reanudar que están realmente en espera.","订单状态不搁置;只能取消保留的订单，实际上是搁置。","Auftragsstatus ist nicht zu halten; Nur unhold Bestellungen,  die tatsächlich in der Warteschleife befinden.","L'état des commandes est pas en attente; Can seuls ordres Reprendre qui sont en fait en attente.","Stato dell'ordine non sia in attesa; Può solo gli ordini Riprendi che sono in realtà in attesa.","Status do pedido não foi interrompida; Só pode Retomar ordens que são realmente em espera.","Την κατάσταση της παραγγελίας δεν είναι σε αναμονή? Μπορεί μόνο Τέλος κράτησης εντολές που είναι στην πραγματικότητα σε αναμονή.","Status zamówienia nie jest zawieszone; Może tylko Wznów zleceń,  które są faktycznie zawieszone.","Ordrestatus ikke er på hold; Kan kun Fjern parkering ordrer,  der faktisk på hold.","Tilauksen tila ei ole pidossa; Voi vain pidosta tilaukset,  jotka ovat todella pidossa.","Ordrestatus er ikke på vent; Kan bare Innhent bestillinger som faktisk er på vent.","وضع النظام ليست معلقة. يمكن فقط أوامر UNHOLD التي هي في الواقع على الانتظار.","주문 상태가 보류 아니다; 보류 사실 만 보류 해제 주문을 할 수 있습니다.","注文状況は保留ではありません。保留に実際にあるだけ保留解除受注することができます。","מצב הזמנה אינו בהמתנה; יכול רק הזמנות פסק מתנה שהם בעצם בהמתנה.","Orderstatus är inte på is; Kan bara Återta order som faktiskt på is.","Stav objednávky není pozastavena; Může pouze Přijmout příkazy,  které jsou ve skutečnosti v pořadí.","Статус заказа не на удержание; Может только Возврат заказы,  которые на самом деле на удержание.","Katayuan ng Order ay hindi on hold; Maaari lamang Ituloy order na on hold talaga.","Order status dili sa salipdanan; Makahimo ba lamang unhold sugo nga sa pagkatinuod sa salipdanan."
"Order successfully cancelled","Order successfully cancelled","Bestelling succesvol geannuleerd","Orden cancelada exitosamente","订购成功取消","Bestellen Sie erfolgreich storniert","Commande annulée avec succès","Ordine annullato con successo","A encomenda foi cancelada com sucesso","Η παραγγελία ακυρώθηκε με επιτυχία","Zamówienie powodzeniem anulowane","Bestil succes aflyst","Tilaa peruuttaminen onnistui","Bestill vellykket kansellert","تم إلغاء الطلب بنجاح","주문이 성공적으로 취소","ご注文が正常にキャンセル","הזמנה בוטלה בהצלחה","Beställ framgångsrikt annullerats","Objednávka byla úspěšně zrušena","Заказать успешно отменена","Matagumpay na nakansela ang Order","Order malampuson gikansela"
"Password and retyped password do not match","Password and retyped password do not match","Wachtwoord en overgetypt wachtwoord komen niet overeen","Contraseña y contraseña mecanografiar no coinciden","密码和重新输入密码不匹配","Passwort und abgetippt Passwort stimmen nicht überein","Mot de passe et mot de passe ne correspondent pas retapés","Password e la password riscritto non corrispondono","Senha e senha retyped não coincidem","Κωδικός και retyped κωδικός πρόσβασης δεν ταιριάζουν","Hasło I przepisać hasło nie pasują","Adgangskode og retyped adgangskode stemmer ikke overens","Salasana ja retyped salasana eivät täsmää","Passord og retyped passord stemmer ikke","كلمة السر وكلمة السر retyped لا تتطابق","비밀번호와 다시 입력 한 비밀번호가 일치하지 않습니다","パスワードと再入力パスワードが一致しません","סיסמא וסיסמא הדפיסה אינן תואמת","Lösenord och skriva om lösenord matchar inte","Heslo a přepsal heslo si neodpovídají","Пароль и перепечатанные пароль не совпадают","Password at retyped password ay hindi tugma","Password ug gikopya password dili pagpares"
"Password changed","Password changed","wachtwoord veranderd","contraseña cambiada","密码已更改","Passwort geändert","Mot de passe changé","Password cambiata","Senha alterada","Ο κωδικός πρόσβασης άλλαξε","Hasło zmienione","Password ændret","Salasana vaihdettu","Passordet er endret","تم تغيير كلمة السر","비밀번호 변경","パスワード変更","סיסמא השתנתה","Lösenord förändrats","Změnil heslo","пароль изменен","Password ay nagbago","Password nausab"
"Password not correct","Password not correct","Wachtwoord niet juist","Contraseña no es correcta","密码不正确","Kennwort nicht korrekt","Mot de passe incorrect","La password non corretta","Senha não está correta","Κωδικός πρόσβασης δεν είναι σωστή","Hasło nie jest prawidłowe","Kodeord ikke korrekt","Salasana ei ole oikein","Passord ikke riktig","كلمة المرور غير صحيحة","올바르지 않은 암호","正しくないパスワード","סיסמא לא נכונה","Lösenord inte är korrekt","Heslo není správné","Пароль не правильно","Hindi tama Password","Password dili husto nga"
"Please confirm your account via the link that you received in the e-mail first","Please confirm your account via the link that you received in the e-mail first","Kunt u bevestigen dat uw account via de link die u voor het eerst in de e-mail ontvangen","Por favor,  confirme su cuenta a través del enlace que ha recibido en el correo electrónico primero","请通过你的电子邮件第一次收到的链接确认您的帐户","Bitte bestätigen Sie Ihr Konto über den Link,  den Sie in der E-Mail zuerst empfangen","S'il vous plaît confirmer votre compte via le lien que vous avez reçu dans l'e-mail d'abord","Si prega di confermare il tuo account tramite il link che hai ricevuto nella e-mail prima","Por favor,  confirme sua conta através do link que você recebeu no e-mail primeiro","Παρακαλούμε να επιβεβαιώσετε τον λογαριασμό σας μέσω του συνδέσμου που λάβατε με e-mail πρώτη","Proszę potwierdzić swoje konto poprzez link,  który otrzymałeś w wiadomości e-mail pierwsza","Bekræft venligst din konto via det link,  du har modtaget i e-mailen først","Vahvista tilisi linkin kautta saamasi sähköpostin ensimmäinen","Vennligst bekreft din konto via linken som du mottok i e-posten først","الرجاء التأكد من حسابك عبر الوصلة التي تلقيتها في رسالة البريد الإلكتروني أولا","먼저 전자 메일로받은 링크를 통해 계정을 확인하시기 바랍니다","あなたが最初に電子メールで受信したリンクを経由してあなたのアカウントを確認してください。","אנא אשר את החשבון שלך דרך הקישור שקיבלת בדואר האלקטרוני ראשון","Vänligen bekräfta ditt konto via länken som du fick i e-postmeddelandet först","Potvrďte prosím svůj účet pomocí odkazu,  který jste obdrželi v e-mailu jako první","Пожалуйста,  подтвердите свою учетную запись по ссылке,  которую вы получили в электронной почте в первую очередь","Mangyaring kumpirmahin ang iyong account sa pamamagitan ng link na iyong natanggap sa e-mail muna","Palihug sa pagmatuod sa imong account pinaagi sa link nga imong nadawat sa e-mail sa unang"
"Poll ID does not exist in websiroduct id is not valid","Poll ID does not exist in websiroduct id is not valid","Poll ID bestaat niet in websiroduct id is niet geldig","Encuesta ID no existe en Identificación websiroduct no es válido","投票ID在websiroduct ID不存在无效","Poll-ID nicht in websiroduct id existiert nicht gültig","Sondage ID ne existe pas dans websiroduct id est pas valable","ID sondaggio non esiste in websiroduct id non è valido","ID Poll não existe em ID websiroduct não é válido","Δημοσκόπηση ID δεν υπάρχει στη id websiroduct δεν είναι έγκυρη","Sonda ID nie istnieje w websiroduct id nie jest ważny","Meningsmåling id findes ikke i websiroduct id er ikke gyldig","Poll ID ei ole olemassa websiroduct id ei kelpaa","Poll ID ikke eksisterer i websiroduct id er ikke gyldig","ID التصويت لا وجود لها في websiroduct معرف غير صالح","websiroduct ID가 존재하지 않는 설문 조사 ID가 유효하지 않습니다","websiroductのIDには存在しないポーリングIDが有効ではありません","מספר סקר אינו קיים בid websiroduct אינו חוקי","Poll ID finns inte i websiroduct id är inte giltigt","Anketa ID neexistuje v websiroduct ID není platný","Опрос ID не существует в websiroduct ID не действует","Ay hindi umiiral sa websiroduct id Poll ID ay hindi wasto","Poll ID wala anaa sa websiroduct id dili balido"
"Product '%1' is current not in stock. Please order later....","Product '%1' is current not in stock. Please order later....","Product%1 is momenteel niet op voorraad. Gelieve later bestellen ....","El producto '%1' es actual no está en stock. Por favor,  para más tarde ....","产品“％1”是目前没有现货。请稍后订购....","Artikel '%1' ist Strom nicht auf Lager. Bitte später zu bestellen ....","Produit '%1' est actuellement pas en stock. S'il vous plaît commander plus tard ....","Prodotto '%1' è in corso nel nostro magazzino. Si prega di ordinare più tardi ....","Produto '%1' é atual não em estoque. Por favor,  ordem mais tarde ....","Προϊόν '%1' είναι η σημερινή δεν είναι άμεσα διαθέσιμο. Μπορείτε να παραγγείλετε αργότερα ....","Produkt %1 jest obecny nie jest w magazynie. Proszę zamówić później ....","Produkt '%1' er aktuel ikke er på lager. Venligst bestil senere ....","Tuotteen %1 on ajankohtainen ole varastossa. Tilattava myöhemmin ....","Produkt «%1» er aktuell ikke på lager. Vennligst bestille senere ....","منتج '٪ 1' هو الحالي ليس في الأوراق المالية. يرجى النظام في وقت لاحق ....","제품 '%1'이 (가) 재고의 현재입니다. 나중에 주문하세요 ....","製品 '％1'は在庫切れの電流です。後で注文してください....","מוצר '%1' הוא נוכחית לא במלאי. נא להזמין מאוחר יותר ....","Produkt%1 är aktuell inte i lager. Beställ senare ....","Produkt '%1' je v současné době není na skladě. Objednávejte prosím později ....","Продукт %1 является текущим нет на складе. Пожалуйста,  заказ позже ....","Product '%1' ay kasalukuyang hindi sa stock. Mangyaring mag-order later ....","Product '%1' mao ang kasamtangan nga dili sa stock. Palihug order sa ulahi ...."
"Product added to cart","Product added to cart","Product toegevoegd aan winkelwagen","Producto añadido a la cesta","产品添加到购物车","Produkt wurde Ihrem Warenkorb hinzugefügt","Produit ajouté au panier","Articolo aggiunto al carrello","O produto foi adicionado ao carrinho","Προϊόν προστέθηκε στο καλάθι","Produkt został dodany do koszyka","Produkt tilføjet til indkøbsvognen","Tuote lisätty ostoskoriin","Produkt lagt i handlevognen","وأضاف المنتج إلى سلة التسوق","제품 쇼핑 카트에 추가","商品がカートに追加","מוצר מוסיף לעגלה","Produkt som tillsätts i kundvagnen","Produkt přidán do košíku","Товар добавлен в корзину","Idinagdag Produkto sa cart","Dugang pa Product sa carromata"
"Product added to compare products","Product added to compare products","Product toegevoegd aan producten vergelijken","Producto añadido para comparar productos","产品附加值比较产品","Der Artikel wurde in Artikel vergleichen","Produit ajouté à comparer les produits","Articolo aggiunto per confrontare i prodotti","O produto foi adicionado para comparar produtos","Προϊόν προστέθηκε να συγκρίνουν τα προϊόντα","Produkt został dodany do porównania produktów","Produkt tilføjet til at sammenligne produkter","Tuote lisätty vertailla tuotteita","Varen lagt til å sammenligne produkter","وأضاف المنتج على المقارنة بين المنتجات","제품은 제품 비교에 추가","製品は、製品を比較するために追加","מוצר נוסף להשוואה בין מוצרים","Produkt som tillsätts jämföra produkter","Výrobek přidán porovnat produkty","Товар добавлен в сравнение продуктов","Idinagdag Produkto upang ihambing ang mga produkto","Product dugang pa sa itandi sa mga produkto"
"Product added to wishlist","Product added to wishlist","Product toegevoegd aan wishlist","Producto añadido a la lista de deseos","产品添加到收藏","Produkt zur Wunschliste hinzugefügt","Produit ajouté à la liste de souhaits","Prodotto aggiunto alla lista dei desideri","O produto foi adicionado à lista de desejos","Προϊόν προστέθηκε στο καλάθι αγορών","Produkt został dodany do listy życzeń","Produkt tilføjet til ønskeliste","Tuote lisätty toivelistalle","Varen lagt til ønskeliste","وأضاف المنتج الى قائمة الامنيات","제품은 위시리스트에 추가","製品は、ウィッシュリストに追加","מוצר נוסף לרשימה 'אני רוצה","Produkt som tillsätts önskelista","Produkt přidán do seznamu přání","Товар добавлен в список желаний","Idinagdag Produkto sa listahan ng mga gusto","Dugang pa Product sa wishlist"
"Product already in compare","Product already in compare","Product reeds in vergelijking","Producto ya comparar","产品已经比较","Produkt bereits in Vergleichen","Produit déjà en comparer","Prodotto già a confrontare","Produto já comparar","Προϊόν ήδη συγκρίνετε","Produkt już porównać","Produkt allerede i sammenligning","Tuote jo vertailla","Produktet allerede i sammenligne","المنتج بالفعل في مقارنة","제품은 이미 비교","製品は既に比較します","מוצר כבר בלהשוות","Produkt redan i jämförelse","Produkt již v porovnat","Продукт уже в сравнение","Nasa ihambing Produkto","Product na sa itandi"
"Product could not be removed from compare products - wrong id given?","Product could not be removed from compare products - wrong id given?","Product kan niet worden verwijderd uit producten vergelijken - verkeerde id gegeven?","El producto no puede ser removido de productos comparar - Identificación del mal dado?","产品不能从比较的产品中删除 - 错误的ID给？","Artikel nicht mehr vergleichen Produkte entfernt werden - falsche id gegeben?","Produit ne peut être retiré de comparer les produits - mauvais identifiant donné?","Il prodotto non può essere rimosso dai prodotti confrontare - id sbagliato dato?","O produto não pode ser removido a partir de produtos comparar - id errado dado?","Το προϊόν δεν μπορεί να αφαιρεθεί από τη σύγκριση προϊόντων - λάθος id δώσει;","Produkt nie może być usunięty z porównanie produktów - podano błędne id?","Produktet kunne ikke fjernes fra Sammenlign produkter - forkert id givet?","Tuotetta ei voitu poistaa vertailla tuotteita - väärä id annetaan?","Produktet kan ikke fjernes fra sammenligne produkter - galt id gitt?","لا يمكن إزالة المنتج من المنتجات مقارنة - إعطاء معرف الخطأ؟","제품 비교 제품에서 제거 할 수 없습니다 - 잘못된 ID가 주어진?","製品の比較製品から削除することができませんでした - 間違ったIDが与えられましたか？","מוצר לא ניתן להסיר ממוצרים להשוות - id השגוי נתון?","Produkten kunde inte tas bort från specialprodukter - fel id ges?","Výrobek nemohl být odstraněn z porovnání produktů - vzhledem k tomu,  špatně id?","Товар не может быть удален из сравнения продукции - неправильно ID дано?","Hindi maalis ng produkto mula sa ihambing ang mga produkto - maling id na ibinigay?","Product dili gikuha gikan sa itandi sa mga produkto - sayop id nga gihatag?"
"Product does no longer exist in catalog , can't be added to the cart.","Product does no longer exist in catalog , can't be added to the cart.","Product bestaat niet meer in de catalogus,  kunnen niet worden toegevoegd aan de winkelwagen.","El producto no ya no existen en el catálogo,  no se puede añadir a la cesta.","产品目录并不再存在，不能被添加到购物车中。","Das Produkt ist nicht mehr im Katalog vorhanden ist, kann nicht in den Warenkorb gelegt werden.","Le produit ne ne plus exister dans le catalogue,  ne peut pas être ajouté à votre panier.","Prodotto non esiste più in catalogo,  non può essere aggiunto al carrello.","Produto já não existe mais em catálogo,  não podem ser adicionados ao carrinho.","Δεν υπάρχει πλέον στον κατάλογός,  το προϊόν δεν μπορεί να προστεθεί στο καλάθι.","Produkt nie ma już istnieje w katalogu,  nie mogą być dodawane do koszyka.","Produkt ikke længere eksisterer i kataloget, kan ikke lægges til vognen.","Tuote ei ole enää olemassa luettelo,  ei voi lisätä ostoskoriin.","Produktet finnes ikke lenger i katalogen,  kan ikke legges til handlevognen.","المنتج لا لم تعد موجودة في الكتالوج، لا يمكن ان تضاف الى العربة.","더 이상,  카탈로그에 존재하지 않는 제품 쇼핑 카트에 추가 할 수 없습니다.","もはや、カタログに存在しないん商品をカートに追加することはできません。","מוצר זה אינו קיים עוד בקטלוג,  לא ניתן להוסיף לעגלה.","Produkt existerar inte längre i katalogen,  kan inte läggas till i varukorgen.","Výrobek se již v katalogu existuje,  nelze přidat do košíku.","Продукт уже больше не существует в каталоге,  не может быть добавлен в корзину.","Ay hindi na umiiral sa catalog,  Product hindi maaaring maidagdag sa mga cart.","Product ang wala na anaa sa katalogo,  dili dugang pa sa carromata."
"Product id is not valid","Product id is not valid","Product-ID is niet geldig","Identificación del producto no es válida","产品ID无效","Produkt-ID nicht gültig ist","Identifiant du produit est pas valable","Id del prodotto non è valido","ID de produto não é válido","Αναγνωριστικό προϊόντος δεν είναι έγκυρη","ID produktu nie jest ważny","Produkt-id er ikke gyldig","Tuote id ei kelpaa","Produktet id er ikke gyldig","معرف المنتج غير صالح","제품 ID가 유효하지 않습니다","プロダクトIDは有効ではありません","מזהה מוצר אינו חוקי","Produkt-id är inte giltigt","Product ID není platný","ID продукта не является допустимым","Id ng Produkto ay hindi wasto","Product id nga dili tinuod"
"Product is not available at this moment...","Product is not available at this moment...","Dit product is op dit moment niet beschikbaar ...","El producto no está disponible en este momento ...","产品不能在这一刻......","Produkt ist zur Zeit nicht verfügbar ...","Le produit est non disponible en ce moment ...","Il prodotto non è disponibile in questo momento ...","O produto não está disponível neste momento ...","Το προϊόν δεν είναι διαθέσιμο αυτή τη στιγμή ...","Produkt nie jest dostępny w tej chwili ...","Produktet er ikke tilgængelig på dette tidspunkt ...","Tuote ei ole myynnissä tällä hetkellä ...","Produktet er ikke tilgjengelig i dette øyeblikk ...","المنتج غير متوفر في هذه اللحظة ...","제품은이 순간에 사용할 수 없습니다 ...","製品は、現時点では利用できません...","מוצר אינו זמין ברגע זה ...","Produkten är inte tillgänglig just nu ...","Produkt je k dispozici v tuto chvíli ...","Продукт не доступны в данный момент ...","Produkto ay hindi magagamit sa sandaling ito ...","Product dili anaa sa niini nga higayon ..."
"Product is not on stock at this moment...","Product is not on stock at this moment...","Product niet op voorraad is op dit moment ...","El producto no está en stock en este momento ...","产品不是股票在这一刻......","Das Produkt ist nicht auf Lager in diesem Moment ...","Le produit est en stock chez pas ce moment ...","Non è in azione a questo momento ...","O produto não está em estoque,  neste momento …","Το προϊόν δεν είναι σε απόθεμα αυτή τη στιγμή ...","Produkt nie jest w magazynie w tej chwili ...","Produktet er ikke på lager i dette øjeblik ...","Tuotetta ei varastossa tällä hetkellä ...","Produktet er ikke på lager i dette øyeblikk ...","المنتج هو ليس في الأوراق المالية في هذه اللحظة ...","제품은이 순간에 재고에없는 ...","製品は、この時点での在庫ではありません...","מוצר אינו במלאי ברגע זה ...","Produkten finns inte i lager just nu ...","Produkt není skladem v tuto chvíli ...","Продукт не является на складе в данный момент ...","Produkto ay hindi sa stock sa sandaling ito ...","Product dili sa stock sa niini nga higayon ..."
"Product removed from compare products","Product removed from compare products","Product verwijderd uit producten vergelijken","Eliminado de productos comparar Producto","产品从比较的产品中删除","Artikel vergleichen Artikel entfernt","Retiré de produits Comparer les produits","Rimosso da confrontare prodotti prodotto","Produto removidas dos produtos compare","Προϊόν αφαιρεθεί από συγκρίνουν τα προϊόντα","Produkt usunięty z porównanie produktów","Produkt fjernet fra Sammenlign produkter","Tuote poistetaan vertailla tuotteita","Produktet fjernet fra sammenligne produkter","إزالة من المنتجات مقارنة المنتج","비교 제품에서 제거 제품","比較製品から削除製品","מוצר הוסר ממוצרים להשוות","Produkt bort från specialprodukter","Produkt odstraněn z porovnání produktů","Продукт удален из Сравнить продукты","Tinanggal mula ihambing ang mga produkto ng Produkto","Product gikuha gikan sa itandi sa mga produkto"
"Product removed from wishlist","Product removed from wishlist","Product verwijderd uit het verlanglijstje","Producto retirado de la lista de deseos","从商品商品中删除","Artikel von der Wunschliste entfernen","Produit retiré de la liste de souhaits","Prodotto rimosso dalla lista dei desideri","Produto removido da lista","Προϊόν αφαιρεθεί από την wishlist","Produkt usunięty z listy życzeń","Produkt fjernet fra ønskeliste","Tuote poistetaan toivelista","Produktet fjernet fra ønskelisten","إزالة المنتج من مفضلة","제품 위시리스트에서 제거","ウィッシュリストから削除製品","מוצר הוסר מהרשימה 'אני רוצה","Produkt avlägsnades från önskelista","Produkt odstraněn z přání","Продукт удален из желаний","Dahil Product mula regalo","Product gikuha gikan sa wishlist"
"Product successfully removed from cart","Product successfully removed from cart","Product met succes verwijderd uit het mandje","Producto eliminado correctamente del carrito","产品从车成功取出","Das Produkt wurde aus dem Warenkorb entfernt","Produit supprimé avec succès du panier","Prodotto rimosso con successo dal carrello","Produto removido com sucesso do carrinho","Προϊόν αφαιρεθεί με επιτυχία από το καλάθι","Produkt został usunięty z koszyka","Produkt held fjernet fra kurv","Tuote onnistuneesti poistettu ostoskoriin","Produktet fjernet fra kurven","المنتج إزالة بنجاح من عربة","제품이 성공적으로 카트에서 제거","製品が正常にカートから削除","המוצר הוסר בהצלחה מהעגלה","Produkt har tagits bort från kundvagn","Tento produkt byl odebrán z košíku","Продукт успешно удален из корзины","Matagumpay na naalis ang mga produkto mula sa cart","Product malampuson gikuha gikan sa carromata"
"Quantity of the product increased in the cart.","Quantity of the product increased in the cart.","Hoeveelheid van het product steeg in het winkelwagentje.","Cantidad del producto aumentó en el carrito.","该产品的数量在增加车。","Menge des Produkts erhöht in den Warenkorb gelegt.","La quantité du produit a augmenté dans le panier.","Quantità di prodotto aumentato nel carrello.","Quantidade do produto aumentou no carrinho.","Ποσότητα του προϊόντος αυξήθηκε κατά καλάθι.","Ilość produktu wzrosła w koszyku.","Mængde af produktet steg i vognen.","Tuotteen määrä kasvoi ostoskorissa.","Mengde av produktet økt i handlevognen.","زادت كمية من المنتج في العربة.","제품의 수량 카트에서 증가했다.","製品の数量はカートで増加しました。","כמות של המוצר גדלה בעגלה.","Mängd av produkten ökade i kundvagnen.","Množství výrobku vzrostl v nákupním košíku.","Количество продукта увеличивается в корзину.","Dami ng mga produkto ay tumaas sa mga cart.","Gidaghanon sa mga produkto misaka sa carromata."
"Rating submitted","Rating submitted","Rating ingediend","Clasificación presentado","评分提交","Bewertung eingereicht","Note soumis","Valutazione presentate","Classificação apresentado","Βαθμολογία υποβάλλονται","Ocena złożone","Bedømmelse indsendt","Arvostelu toimitti","Rating innsendt","تصنيف المقدمة","평가 제출","評価提出","דירוג הוגש","Betyg lämnats","Rating předloženy","Рейтинг представлен","Isinumite Rating","Rating gisumiter"
