"en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"A virtual product is the same as a simple product except that they do not have a physical or digital counterpart; they do not ship, nor do they have a download link","Een virtueel product is hetzelfde als een eenvoudig product, behalve dat ze geen fysieke of digitale tegenhanger; ze verzenden niet, noch hebben zij een download link","Un producto virtual es la misma como un producto simple, excepto que no tienen una contraparte física o digital; no enviar, ni tienen un enlace de descarga","虚拟产品是相同的，只是它们不具有物理或数字对应一个简单的产品;他们不出货，也不会有一个下载链接","Ein virtuelles Produkt ist das gleiche wie ein einfaches Produkt, außer dass sie eine physische oder digitale Gegenstück haben nicht; sie versenden nicht, noch haben sie einen Download-Link","Un produit virtuel est identique à un produit simple, sauf qu'ils ne possèdent pas de contrepartie physique ou numérique; ils ne sont pas livrés, ni ont-ils un lien de téléchargement","Un prodotto virtuale è lo stesso di un prodotto semplice, tranne che non hanno una controparte fisica o digitale; non spedire, né hanno un link di download","Um produto virtual é a mesma como um produto simples, excepto que eles não têm uma contraparte física ou digital; eles não são fornecidos, nem têm um link para download","Μια εικονική προϊόν είναι το ίδιο με ένα απλό προϊόν εκτός από το ότι δεν έχουν ένα φυσικό ή ψηφιακό ομόλογό? δεν πλοίο, ούτε έχουν ένα download link","Produkt wirtualny jest taki sam jak zwykły produkt, z wyjątkiem, że nie posiada odpowiednika fizycznego lub cyfrowy; nie wysyła, ani nie mają one link do pobrania","En virtuel produkt er det samme som et simpelt produkt, bortset fra at de ikke har et fysisk eller digitalt modstykke; de ikke skib, heller ikke de har et download link","Virtuaalinen tuote on sama kuin yksinkertaisen tuotteen, paitsi että ne eivät ole fyysisesti tai digitaalinen vastine; ne ei toimiteta, eikä niillä ole latauslinkki","En virtuell produkt er det samme som et enkelt produkt, bortsett fra at de ikke har et fysisk eller digitalt motstykke; de sender ikke, heller ikke de har en nedlastingslink","منتج الظاهري هو نفسه منتج بسيط إلا أنها لم يكن لديك نظيره المادي أو الرقمي؛ انهم لا السفينة، كما أنها لا يكون لها رابط التحميل","가상 제품은 물리적 또는 디지털 대응 갖고 있지 않은 것을 제외하고 단순한 제품과 동일하다; 그들은 제공하지 않으며, 그들은 다운로드 링크를해야합니까","バーチャル製品は、彼らが物理的またはデジタル対応を持っていないことを除いて、単純な製品と同じです。彼らが付属していない、また彼らは、ダウンロードリンクを持っています","מוצר וירטואלי זהה מוצר פשוט חוץ מזה אין להם עמיתו פיזי או דיגיטלי; הם לא עושים משלוחים, וגם אין להם קישור להורדה","En virtuell produkten är densamma som en enkel produkt, förutom att de inte har en fysisk eller digital motsvarighet; de inte leverera, inte heller har en nedladdningslänk","Virtuální výrobek je stejný jako jednoduchý výrobek tím rozdílem, že nemají fyzický nebo digitální protějšek; nemají loď, ani oni mají odkaz ke stažení","Виртуальный продукт такой же, как простой продукт, за исключением того что они не имеют физического или цифрового аналога; они не грузить, и они не имеют ссылку скачать","Ang isang virtual produkto ay ang parehong bilang isang simpleng produkto maliban na hindi sila magkaroon ng isang pisikal o digital counterpart; hindi nila barko, at hindi rin sila ay may isang pag-download link","Ang usa ka virtual produkto mao ang sama nga ingon sa usa ka yano nga produkto gawas nga sila dili makabaton sa usa ka pisikal o digital counterpart; wala sila sa sakayan, ni sila adunay usa ka download link"
"A web browser developed by Apple Inc","Een webbrowser ontwikkeld door Apple Inc","Un navegador web desarrollado por Apple Inc","由苹果公司开发一个Web浏览器","Ein Web-Browser entwickelt von Apple Inc","Un navigateur Web développé par Apple Inc","Un browser web sviluppato da Apple Inc","Um navegador web desenvolvido pela Apple Inc","Ένα πρόγραμμα περιήγησης στο web που αναπτύχθηκε από την Apple Inc","Przeglądarka internetowa stworzona przez Apple Inc","En webbrowser udviklet af Apple Inc","Verkkoselain kehittämä Apple","En nettleser utviklet av Apple Inc","متصفح ويب التي وضعتها شركة أبل","애플 Inc.에 의해 개발 된 웹 브라우저","アップル社が開発したWebブラウザ","דפדפן אינטרנט שפותח על ידי Apple Inc","En webbläsare som utvecklats av Apple Inc","Webový prohlížeč vyvinutý společností Apple Inc","Веб-браузер, разработанный Apple Inc","Ang isang web browser na binuo sa pamamagitan ng Apple Inc","Ang usa ka web browser og sa Apple Inc"
"A web browser developed by Opera Software","Een webbrowser ontwikkeld door Opera Software","Un navegador web desarrollado por Opera Software","Opera软件公司开发的网页浏览器","Ein Web-Browser entwickelt von Opera Software","Un navigateur web développé par Opera Software","Un browser web sviluppato da Opera Software","Um navegador web desenvolvido pela Opera Software","Ένα πρόγραμμα περιήγησης στο web που αναπτύχθηκε από την Opera Software","Przeglądarka internetowa stworzona przez Opera Software","En webbrowser udviklet af Opera Software","Verkkoselain kehittämä Opera Software","En nettleser utviklet av Opera Software","متصفح ويب التي وضعتها برمجيات أوبرا","오페라 소프트웨어가 개발 한 웹 브라우저","Opera Softwareの開発したWebブラウザ","דפדפן אינטרנט שפותח על ידי Opera Software","En webbläsare som utvecklats av Opera Software","Webový prohlížeč vyvinutý společností Opera Software","Веб-браузер, разработанный Opera Software","Ang isang web browser na binuo sa pamamagitan ng Opera Software","Ang usa ka web browser og sa Opera Software"
"Absolute size, using the original exact image size","Absolute omvang, met behulp van de originele exact beeldformaat","Tamaño absoluto, utilizando el tamaño de la imagen exacta originales","绝对尺寸，使用原来的精确图像尺寸","Absolute Größe, die ursprüngliche genaue Bildgröße verwenden","taille absolue, en utilisant la taille exacte de l'image originale","dimensione assoluta, utilizzando il formato originale immagine esatta","tamanho absoluto, utilizando o tamanho da imagem exata originais","Απόλυτο μέγεθος, χρησιμοποιώντας το αρχικό ακριβές μέγεθος της εικόνας","Absolutna wielkość, z wykorzystaniem oryginalnego dokładny rozmiar obrazu","Absolut størrelse, ved hjælp af den oprindelige nøjagtig billedstørrelse","Absoluuttisen koon, käyttäen alkuperäistä tarkan kuvan koko","Absolutt størrelse, bruker den originale eksakt bildestørrelse","الحجم المطلق، وذلك باستخدام الأصلي المحدد حجم الصورة","원래 정확한 이미지 크기를 사용하여 절대 크기,","元の正確なイメージサイズを使用して、絶対的な大きさ、","גודל מוחלט, שימוש בגודל התמונה המדויקת המקורי","Absoluta storlek, med den ursprungliga exakt bildstorleken","Absolutní velikost, pomocí originálního přesné velikosti obrazu","Фактический размер, используя оригинальный точный размер изображения","Absolute laki, gamit ang orihinal na eksaktong sukat ng imahe","Bug-os nga gidak-on, sa paggamit sa orihinal nga eksaktong gidak-on sa larawan"
"After an invoice is created, use the invoice status to indicate where it is in the processing cycle; Changing statuses on invoices has implications, depending on the status being changed. . ","Nadat een factuur is gemaakt, gebruikt u de status van de factuur aan te geven waar het is in de verwerking cyclus; Veranderende statussen op rekeningen heeft gevolgen, afhankelijk van de status wordt gewijzigd. .","Después de que se crea una factura, utilice el estado de la factura para indicar dónde se encuentra en el ciclo de procesamiento; Cambio de estados en las facturas tiene implicaciones, dependiendo del estado de ser cambiado. .","创建发票后，使用发票状态，表明它是在加工周期;发票上改变状态具有影响，根据状态被改变。 。","Nachdem eine Rechnung erstellt wird, verwenden Sie den Rechnungsstatus, um anzuzeigen, wo es in der Verarbeitungszyklus ist; Ändern Zustände auf Rechnungen hat Auswirkungen, je nach Status geändert werden. .","Après une facture est créée, utilisez le statut de la facture pour indiquer où il se trouve dans le cycle de traitement; Changer les états des factures a des implications, en fonction de l'état en cours de modification. .","Dopo la creazione di una fattura, utilizzare lo stato della fattura per indicare dove è nel ciclo di lavorazione; Cambiare stati fatture ha implicazioni, a seconda dello stato venga modificato. .","Depois de uma fatura é criada, use o status factura para indicar onde é no ciclo de processamento; Alterar status nas facturas tem implicações, dependendo do estado a ser alterado. .","Μετά τη δημιουργία ενός τιμολογίου, χρησιμοποιήστε την ιδιότητα του τιμολογίου για να δείξει πού είναι στον κύκλο επεξεργασίας? Αλλαγή καταστάσεις στα τιμολόγια έχει επιπτώσεις, ανάλογα με την κατάσταση να αλλάξει. .","Po utworzeniu faktury, należy status faktury, aby wskazać, gdzie jest to w cyklu przetwarzania; Zmiana statusów faktur ma znaczenie, w zależności od stanu ich zmianie. ,","Efter en faktura er oprettet, bruge fakturaen status at angive, hvor det er i behandling cyklus; Ændring statusser på fakturaer har konsekvenser, afhængigt af status ændres. .","Sen jälkeen kun lasku on luotu, käytä laskun tila ilmoittamaan, missä se on prosessointisykli; Muuttaminen statukset laskuissa on vaikutuksia, riippuen status on muuttunut. .","Etter en faktura er opprettet, kan du bruke faktura status for å indikere hvor det er i behandlingen syklus; Endre status på fakturaer har implikasjoner, avhengig av status blir endret. .","بعد إنشاء فاتورة، استخدم وضع فاتورة للإشارة إلى حيث كان في دورة تجهيز؛ تغيير الأوضاع على الفواتير آثار، تبعا لحالة يتم تغييرها. .","송장이 만들어지면 그 처리 사이클이고 나타낼 인보이스 상태를 사용한다; 송장에 상태를 변경하면 상태에 따라 의미가 변경된다. .","請求書が作成されたら、それは処理サイクルのどこにあるかを示すために、請求書のステータスを使用します。請求書のステータスを変更すると、変更された状況に応じて影響を有します。 。","לאחר חשבונית נוצרת, השתמש מצב החשבונית כדי לציין היכן הוא נמצא במחזור העיבוד; יש שינוי סטטוסים על חשבוניות השלכות, בהתאם למצב להיות שונה. .","Efter en faktura skapas, använd status fakturan att ange var den är i processcykeln; Ändra status på fakturor har konsekvenser, beroende på status ändras. .","Poté, co je vytvořena faktura, použijte stav faktury aby vyznačily, kde je ve zpracovatelském cyklu; Změna stavů na účtech má důsledky, v závislosti na stavu měněn. ,","После создания счета, используйте статус счета, чтобы указать, где он находится в цикле обработки; Изменение статусов в счетах имеет последствия, в зависимости от состояния изменяется. ,","Pagkatapos ng isang invoice ay nilikha, gamitin ang invoice katayuan upang ipahiwatig kung saan ito ay sa processing cycle; Ang pagpapalit ng mga katayuan sa mga invoice ay may mga epekto, depende sa status ng pagiging nagbago. .","Human sa usa ka resibo gibuhat, sa paggamit sa resibo status nagpakita diin kini mao ang sa pagproseso cycle; Usab-usab nga statuses sa invoices may implikasyon, depende sa kahimtang sa nga nausab. ."
"Airlines etc","luchtvaartmaatschappijen etc","aerolíneas, etc.","航空公司等","Airlines usw.","compagnies aériennes etc","Compagnie aeree ecc","companhias aéreas etc","αεροπορικές εταιρείες κ.α.","Linie lotnicze itp","Flyselskaber etc","Airlines jne","Flyselskaper etc","الخطوط الجوية الخ","항공 등","航空会社など","איירליינס וכו","flygbolag etc","Airlines etc","Авиакомпании и т.д.","Airlines etc","Airlines etc"
"All conditions must be met for the catalog rule to be applied","Alle voorwaarden moet worden voldaan voor de catalogus regel toe te passen","Todas las condiciones deben cumplirse para que la regla se aplicará al catálogo","所有的条件必须满足以应用目录规则","Alle Bedingungen müssen erfüllt sein, damit der Katalog Regel angewendet werden","Toutes les conditions doivent être remplies pour que la règle de catalogue à appliquer","Tutte le condizioni devono essere soddisfatte per la regola catalogo da applicare","devem ser cumpridas todas as condições para a regra de catálogo a ser aplicada","Πρέπει να πληρούνται όλοι οι όροι για το κράτος κατάλογο που θα εφαρμοστεί","Wszystkie warunki muszą być spełnione, aby reguła Katalog mają być stosowane","Alle betingelser skal være opfyldt for kataloget reglen skal anvendes","Kaikki ehdot on täytettävä luettelon sääntöä voidaan soveltaa","Alle vilkår må være oppfylt for katalogregelen skal anvendes","يجب أن تتحقق كافة الشروط للحكم كتالوج ليتم تطبيقها","카탈로그 규칙을 적용 할 수 있도록 모든 조건이 충족되어야합니다","カタログルールを適用するためのすべての条件が満たされなければなりません","יש לעמוד בכל התנאים להיות מיושם כלל הקטלוג","Samtliga villkor måste vara uppfyllda för katalog regeln ska tillämpas","Všechny podmínky musí být splněny, aby pravidlo katalog které mají být použity","Все условия должны быть выполнены для правило Каталог применяться","Lahat ng mga kondisyon ay dapat matugunan para sa catalog panuntunan na ilalapat","Ang tanan nga mga kahimtang kinahanglan nga nahimamat sa mga katalogo sa pagmando nga apply"
"All values in the range have the same probability","Alle waarden in de reeks dezelfde waarschijnlijkheid","Todos los valores de la gama tienen la misma probabilidad","在范围内的所有值都具有相同的概率","Alle Werte in dem Bereich haben die gleiche Wahrscheinlichkeit","Toutes les valeurs de la gamme ont la même probabilité","Tutti i valori nell'intervallo hanno la stessa probabilità","Todos os valores no intervalo têm a mesma probabilidade","Όλες οι τιμές στην περιοχή έχουν την ίδια πιθανότητα","Wszystkie wartości w zakresie ma takie samo prawdopodobieństwo","Alle værdier i området har samme sandsynlighed","Kaikki arvot alueella on sama todennäköisyys","Alle verdier i området har samme sannsynlighet","كافة القيم في مجموعة لها نفس الاحتمال","범위의 모든 값이 동일한 확률을 가지고","範囲内のすべての値は同じ確率を持っています","כל הערכים בטווח יש הסתברות שווה","Alla värden i intervallet har samma sannolikhet","Všechny hodnoty v rozsahu mají stejnou pravděpodobnost","Все значения в диапазоне имеют одинаковую вероятность","Lahat ng mga halaga sa hanay ay may parehong posibilidad","Ang tanan nga mga prinsipyo sa laing adunay samang kalagmitan"
"All websites will share this table always","Alle websites zullen deze tabel altijd delen","Todos los sitios web compartir esta mesa siempre","所有的网站都将永远分享此表","Alle Websites werden den Tisch teilen immer","Tous les sites se partageront cette table toujours","Tutti i siti web condivideranno questa tabella sempre","Todos os sites irão partilhar esta tabela sempre","Όλες οι ιστοσελίδες θα μοιραστούν αυτό το τραπέζι πάντα","Wszystkie strony będą dzielić tę tabelę zawsze","Alle hjemmesider vil dele denne tabel altid","Kaikki sivustot jakaa tämän taulukon aina","Alle nettsteder vil dele denne tabellen alltid","وجميع المواقع حصة هذا الجدول دائما","모든 웹 사이트는 항상이 테이블을 공유합니다","すべてのウェブサイトは、常にこのテーブルを共有します","כל האתרים יחלקו בטבלה זו תמיד","Alla webbplatser kommer att dela denna tabell alltid","Všechny webové stránky budou sdílet tuto tabulku vždy","Все веб-сайты будут делиться эту таблицу всегда","Lahat ng mga website ay magbabahagi talahanayan na ito laging","Ang tanan nga mga website makaambit niini nga lamesa sa kanunay"
"Allows you to create a new product using one or more existing products in your store","Hiermee kunt u een nieuw product met behulp van een of meer bestaande producten in uw winkel te creëren","Le permite crear un nuevo producto usando uno o más productos existentes en su tienda","让您在您的商店创建一个使用一个或多个现有产品的新产品","Hier können Sie ein neues Produkt mit einem oder mehreren bestehenden Produkten in Ihrem Geschäft zu schaffen","Permet de créer un nouveau produit en utilisant un ou plusieurs produits existants dans votre magasin","Consente di creare un nuovo prodotto utilizzando uno o più prodotti esistenti nel tuo negozio","Permite criar um novo produto utilizando um ou mais produtos existentes em sua loja","Σας επιτρέπει να δημιουργήσετε ένα νέο προϊόν που καταναλώνει ένα ή περισσότερα υφιστάμενα προϊόντα στο κατάστημά σας","Pozwala na stworzenie nowego produktu z zastosowaniem jednego lub więcej istniejących produktów w sklepie","Giver dig mulighed for at oprette et nyt produkt ved hjælp et eller flere eksisterende produkter i din butik","Voit luoda uuden tuotteen yhden tai useamman olemassa olevien tuotteiden ihmettelemään","Lar deg opprette et nytt produkt ved hjelp av ett eller flere eksisterende produkter i butikken din","يسمح لك لخلق منتج جديد باستخدام واحد أو أكثر من المنتجات الموجودة في متجرك","당신은 당신의 가게에서 하나 이상의 기존 제품을 사용하여 새로운 제품을 만들 수 있습니다","あなたはあなたの店で1つ以上の既存の製品を使用して新しい製品を作成することができます","מאפשר לך ליצור מוצר חדש באמצעות אחד או יותר מוצרים קיימים בחנות שלך","Gör det möjligt att skapa en ny produkt med hjälp av en eller flera befintliga produkter i din butik","Umožňuje vytvořit nový produkt pomocí jednoho nebo více stávajících produktů ve vašem obchodě","Позволяет создать новый продукт, используя один или несколько существующих продуктов в вашем магазине","Binibigyang-daan kang lumikha ng isang bagong produkto na gamit ang isa o higit pang mga umiiral na mga produkto sa iyong tindahan","Nagtugot kaninyo sa paghimo sa usa ka bag-o nga produkto sa paggamit sa usa o labaw pa kasamtangan nga mga produkto diha sa imong tindahan"
"American system with am/pm indicator","Amerikaanse systeem met AM / PM-indicator","sistema americano con el indicador de AM / PM","与AM / PM指示美国的制度","Amerikanische System mit AM / PM-Indikator","système américain avec am / indicateur de h","sistema americano con indicatore AM / PM","sistema americano com indicador AM / pm","Αμερικανικό σύστημα με ένδειξη AM / PM","Amerykański system z AM / PM wskaźnika","Amerikanske system med am / pm indikator","Amerikkalainen järjestelmä am / pm osoitin","Amerikanske systemet med AM / PM-indikator","النظام الأمريكي مع صباحا مؤشر / مساء","AM / PM 표시와 미국의 시스템","AM / PMインジケータ付きアメリカンシステム","שיטה אמריקנית עם חיווי AM / PM","Amerikanska systemet med am / pm indikator","Americký systém s AM / PM indikátor","Американская система с утра индикатор / PM","Amerikano system na may am / pm indicator","Amerikano nga sistema uban sa am / pm timailhan"
"an input field which accepts a time formatted input","een invoerveld waarin een tijd geformatteerde ingang herkent","un campo de entrada que acepta una entrada de la hora con formato","它接受时间格式输入的输入字段","ein Eingabefeld, das eine Zeit formatierte Eingabe akzeptiert","un champ d'entrée qui accepte une entrée de temps formatées","un campo di input che accetta una volta formattato di ingresso","um campo de entrada que aceita uma entrada de hora formatada","ένα πεδίο εισόδου που δέχεται μια είσοδο ώρα, μορφοποιημένη","pole wejściowe, które akceptuje wejście czasowe sformatowaniu","et input felt, som accepterer en tid formateret input","syöttökenttä, joka hyväksyy aika muotoiltu panos","et inntastingsfelt som aksepterer en tid formatert innspill","حقل المدخلات التي تقبل وقت تنسيق المدخلات","시간 형식의 입력을받는 입력 필드","時間フォーマットされた入力を受け付ける入力フィールド","שדה קלט המקבלת קלט מעוצב זמן","ett inmatningsfält som accepterar en tid formaterad inmatning","vstupní pole, která přijímá čas formátovaný vstup pro","поле ввода, который принимает времени отформатированы ввод","isang input field kung saan ay tumatanggap ng isang oras-format input","usa ka input kapatagan nga modawat sa usa ka panahon nga nakahan-ay input"
"An invoice is a bill sent by a provider of a product or service to the purchaser","Een factuur is een wetsvoorstel door een aanbieder van een product of dienst naar de koper","Una factura es un proyecto de ley enviado por un proveedor de un producto o servicio para el comprador","发票是由产品或服务的提供者发送给购买者的法案","Eine Rechnung ist eine Rechnung von einem Anbieter eines Produkts oder einer Dienstleistung an den Käufer gesendet","Une facture est une facture envoyée par un fournisseur d'un produit ou d'un service à l'acheteur","Una fattura è una fattura inviata da un fornitore di un prodotto o servizio per l'acquirente","Uma factura é um projeto de lei enviado por um fornecedor de um produto ou serviço para o comprador","Το τιμολόγιο είναι ένα νομοσχέδιο που αποστέλλονται από τον πάροχο του προϊόντος ή της υπηρεσίας στον αγοραστή","Faktura jest rachunek wysyłany przez dostawcę towaru lub usługi do nabywcy","En faktura er en regning sendt af en udbyder af en vare eller tjenesteydelse til køberen","Lasku on lasku lähetetään tarjoaja tuotteen tai palvelun ostajalle","En faktura er en faktura som sendes av en leverandør av et produkt eller en tjeneste til kjøperen","فاتورة هي فاتورة أرسلت من قبل مزود المنتج أو الخدمة للمشتري","인보이스는 구매자에게 제품이나 서비스의 제공에 의해 전송 된 법​​안이다","請求書が購入者に製品やサービスのプロバイダーによって送信された法案であります","חשבונית היא בחשבונית הנשלחת על ידי ספקית של מוצר או שירות לרוכש","En faktura är en faktura skickas av en leverantör av en produkt eller tjänst till köparen","Faktura je návrh zákona poslán poskytovatel výrobku nebo služby kupujícímu","Фактура законопроект отправлен со стороны поставщика продукта или услуги покупателю","Isang invoice ay isang bill na ipinadala ng isang provider ng isang produkto o serbisyo sa mga mamimili","Usa ka resibo mao ang usa ka balaodnon nga gipadala sa usa ka provider sa usa ka produkto o sa pag-alagad ngadto sa mga mamalitay"
"An invoice is a record of the receipt of payment for an order. The invoice establishes an obligation on the part of the purchaser to pay, creating an account receivable. A credit note can be issued to correct a mistake if the invoice has been overstated or to reimburse the buyer completely if the goods have been returned. . ","Een factuur is een verslag van de ontvangst van de betaling voor een bestelling. De factuur wordt een verplichting van de zijde van de koper te betalen, het creëren van een vordering. Een creditnota kan worden uitgegeven om een ​​fout te corrigeren als de factuur is overdreven of aan de koper volledig terug te betalen als de goederen zijn geretourneerd. .","Una factura es un registro del recibo de pago de un pedido. La factura establece la obligación por parte del comprador a pagar, la creación de una cuenta por cobrar. Una nota de crédito puede ser emitido para corregir un error si la factura ha sido exagerada o para reembolsar al comprador por completo si se han devuelto las mercancías. .","发票是付款收据的订单记录。发票上建立买方支付的部分义务，建立应收账款。贷方票据可以发出纠正错误如果发票已经被夸大或如果货物已退回全部偿还买家。 。","Eine Rechnung ist ein Hinweis auf den Eingang der Zahlung für einen Auftrag. Die Rechnung stellt eine Verpflichtung seitens des Käufers zu zahlen, eine Forderung zu schaffen. Eine Gutschrift kann einen Fehler ausgegeben werden, um zu korrigieren, wenn die Rechnung zu hoch angesetzt worden ist oder der Käufer vollständig zu erstatten, wenn die Ware zurückgegeben wurden. .","Une facture est une trace de la réception du paiement d'une commande. La facture établit une obligation de la part de l'acheteur à payer, la création d'un compte client. Une note de crédit peut être délivré à corriger une erreur si la facture a été exagérée ou de rembourser l'acheteur complètement si les produits ont été retournés. .","Una fattura è un record della ricevuta di pagamento per un ordine. La fattura stabilisce un obbligo da parte dell'acquirente di pagare, la creazione di un credito. Una nota di credito può essere rilasciato per correggere un errore se la fattura è stata sopravvalutata o di rimborsare completamente il compratore se le merci sono stati restituiti. .","Uma factura é um registro do recebimento do pagamento para uma ordem. A factura estabelece uma obrigação por parte do comprador a pagar, a criação de uma conta a receber. A nota de crédito pode ser emitido para corrigir um erro se a factura tem sido exagerada ou para reembolsar o comprador completamente se os bens foram devolvidos. .","Ένα τιμολόγιο αποτελεί ρεκόρ από την παραλαβή της πληρωμής για μια παραγγελία. Το τιμολόγιο θεσπίζει υποχρέωση από την πλευρά του αγοραστή να πληρώσει, δημιουργώντας ένα λογαριασμό εισπρακτέο. Ένα πιστωτικό σημείωμα μπορεί να εκδοθεί για να διορθώσει ένα λάθος όταν το τιμολόγιο έχει υπερεκτιμηθεί ή να επιστρέψει στον αγοραστή εντελώς εάν τα προϊόντα έχουν επιστραφεί. .","Faktura jest zapisem otrzymania zapłaty za zamówienia. Faktura ustanawia zobowiązanie ze strony kupującego do zapłaty, tworząc należność. Nota kredytowa może być wydane w celu skorygowania błędu, jeżeli faktura została zawyżona lub zwrotu nabywcy całości, jeżeli towary zostały zwrócone. ,","En faktura er en registrering af modtagelse af betaling for en ordre. Fakturaen fastlægger en forpligtelse på den del af køberen til at betale, oprette en konto tilgodehavende. En kreditnota kan udstedes for at korrigere en fejl, hvis fakturaen er overvurderet, eller at tilbagebetale køberen helt, hvis varerne er blevet returneret. .","Lasku on kirjaa kuitti tilauksen. Lasku vahvistetaan velvoita ostajan maksamaan, tilin luomista saamisen. Hyvityslasku voidaan antaa korjata virheen, jos lasku on liioitella tai korvaamaan ostajalle kokonaan, jos tavara on palautettu. .","En faktura er en registrering av mottak av betaling for en bestilling. Fakturaen etablerer en forpliktelse på den delen av kjøperen til å betale, og skaper en fordring. En kreditnota kan utstedes for å rette en feil hvis fakturaen er overdrevet eller å refundere kjøperen helt hvis varen er returnert. .","فاتورة هي سجل لاستلام المبلغ للأمر. وتنص الفاتورة التزاما من جانب المشتري لدفع، إنشاء حساب المستحق. يمكن إصدار مذكرة الائتمان لتصحيح الخطأ إذا كان قد تم المبالغة الفاتورة أو أن يسدد المشتري تماما إذا تم إرجاع البضاعة. .","송장 주문에 대한 지불의 영수증의 기록이다. 송장 채권 계정을 생성, 지불하는 구매자 측의 의무를 설정합니다. 신용 메모는 송장이 과장되어있는 경우 실수를 정정하거나 제품이 반환 된 경우 완전히 구매자를 상환하기 위해 발행 할 수 있습니다. .","請求書は、注文の支払いの領収書の記録です。請求書は、売掛金を作成し、支払うために購入者の一部に義務を確立します。クレジットノートは、請求書が誇張されているか、または返品された場合、完全に買い手に返済する場合間違いを修正するために発行することができます。 。","חשבונית היא תיעוד של קבלת התשלום בגין ההזמנה. החשבונית קובעת חובה מצד הרוכש לשלם, יצירת חשבון לבקל. הערת אשראי ניתן להנפיק לתקן טעות אם החשבונית כבר מוגזמת או להחזיר את הקונה לחלוטין אם הטובין הוחזר. .","En faktura är ett register över mottagandet av betalning för en beställning. Fakturan innehåller en skyldighet för den del av köparen att betala, vilket skapar en kundfordran. En kreditnota kan utfärdas för att korrigera ett misstag om fakturan har överskattats eller att ersätta köparen helt om varorna har returnerats. .","Faktura je záznam o přijetí platby za objednávky. Faktura zavádí povinnost na straně kupujícího zaplatit, vytvoření účtu pohledávek. Úvěrová poznámka může být vydán opravit chybu, když byl nadhodnocené faktury nebo zcela uhradit kupujícímu, pokud byly vráceny zboží. ,","Фактура представляет собой запись о получении оплаты за заказ. Счета устанавливает обязательство со стороны покупателя, чтобы заплатить, создавая учетную запись задолженность. Кредит-ноты могут быть выпущены, чтобы исправить ошибку, если счет-фактура была завышена или полностью возместить покупателю если товары были возвращены. ,","Isang invoice ay isang talaan ng mga resibo ng pagbabayad para sa isang order. invoice ay nagtatatag ng isang obligasyon sa bahagi ng mga mamimili na magbayad, paglikha ng isang account maaaring tanggapin. Isang credit note ay maaring maipadala upang iwasto ang isang pagkakamali kung ang invoice ay tinanggal overstated o upang bayaran ang bumibili ganap na kung ang mga kalakal ay ibinalik. .","Usa ka resibo mao ang usa ka talaan sa mga resibo sa pagbayad alang sa usa ka order. imboyis Ang nagtukod sa usa ka obligasyon sa ibabaw sa bahin sa mga nakapalit sa pagbayad, pagmugna sa usa ka asoy sa receivable. Ang usa ka credit mubo nga sulat mahimo nga gi-isyu sa pagtul-id sa usa ka sayop kon ang resibo nga kaakohan o sa bayad sa pumapalit sa bug-os kon ang mga butang nga mibalik. ."
"Any of the conditions must be met to apply the catalog rule","Een van de voorwaarden moet worden voldaan om de catalogus regel toe te passen","Cualquiera de las condiciones deben cumplirse para aplicar la regla catálogo","所有的条件必须得到​​满足，以应用目录规则","Jede der Bedingungen müssen erfüllt sein Katalog Regel anwenden","Chacune de ces conditions doivent être remplies pour appliquer la règle de catalogue","Una qualsiasi delle condizioni devono essere soddisfatte per applicare la regola catalogo","Qualquer uma das condições devem ser atendidas para aplicar a regra catálogo","Οποιαδήποτε από τις προϋποθέσεις πρέπει να πληρούνται για να εφαρμόσουν τον κανόνα Κατάλογος","Którykolwiek z warunków musi być spełniony, aby zastosować regułę katalogowy","Enhver af de betingelser skal være opfyldt for at anvende kataloget reglen","Mikä tahansa ehtojen on täytyttävä soveltamaan luettelo sääntöä","Noen av forholdene som må oppfylles for å bruke katalogregelen","أي من الشروط يجب توفرها لتطبيق القاعدة كتالوج","조건 중 하나는 카탈로그 규칙을 적용하기 위해 충족해야","条件のいずれかがカタログのルールを適用するために満たされなければなりません","כל אחד מתנאים חייבים להתקיים כדי להחיל את כלל הקטלוג","Något av de villkor måste uppfyllas för att tillämpa katalogregeln","Některá z podmínek musí být splněny pravidlo platí katalog","Любые условия должны быть соблюдены, чтобы применить правило каталог","Anuman sa mga kundisyon ay dapat matugunan upang ilapat ang catalog panuntunan","Sa bisan unsa sa mga kahimtang sa kinahanglan nga nahimamat sa paggamit sa mga katalogo sa pagmando sa"
